guppi_58934_61159_004742_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_62505_004810_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_62544_004811_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_63309_004850_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_63353_004852_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_64435_004906_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_64474_004908_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_64879_004928_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_65804_004974_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_65844_004976_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58934_66353_005001_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_59382_000417_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_59412_000419_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_60844_000490_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_61677_002128_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_61914_002175_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_62336_002259_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_62697_002331_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_62768_002345_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_63850_002561_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_63880_002567_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58947_64320_002654_Unknown_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_58997_63458_013967_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_58997_63657_013993_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_58997_63731_014002_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_58997_64082_014047_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_58997_64157_014056_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_58997_64634_014116_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_58997_65061_014171_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_58997_65135_014180_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_58997_65707_014252_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 952 1088
guppi_59018_40900_001075_J0835-4510_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59018_44728_001266_B0450-18_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59018_46975_001377_J0835-4510_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59018_48969_001477_B0450-18_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59019_60337_004651_J0835-4510_0001-ics.rawspec.0000.combined.fil 1284 1498
guppi_59019_61434_004869_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 1284 1498
guppi_59019_61506_004883_J0825-5010_offset_0001-ics.rawspec.0000.combined.fil 1284 1498
guppi_59019_63103_005202_J0835-4510_0001-ics.rawspec.0000.combined.fil 1284 1498
guppi_59025_41038_003850_Unknown_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59025_48120_004203_J0835-4510_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59046_51445_001579_J0918-1205_offset_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59046_52631_001638_J0918-1205_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59046_52741_001644_J0918-1205_offset_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59046_53079_001660_J0825-5010_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59046_53374_001675_J0825-5010_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59046_53751_001694_J0918-1205_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59046_53860_001699_J0918-1205_offset_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59046_55641_001788_J0835-4510_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59046_56678_001840_J0835-4510_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59046_57091_001860_J0918-1205_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59046_57164_001864_J0918-1205_offset_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59046_57408_001876_J0918-1205_0001-ics.rawspec.0000.combined.fil 856 1070
guppi_59074_53961_004425_J1939-6342_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59074_54027_004428_J1939-6342_offset_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59074_54336_004444_J1939-6342_0001-ics.rawspec.0000.combined.fil 856 1712
guppi_59074_54404_004447_J1939-6342_offset_0001-ics.rawspec.0000.combined.fil 856 1712
